Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
DIVERSITY,142,C8,137.6,2.5,2,0,1,40,1,0,55.02,68.78,1.25,0,1,1,1082,34.4,1,1,0,8,0,1,0,10,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,143,C8,155.9,3,2,1,0,34,1,0,51.96,77.95,1.5,0,1,1,1082,39,1,1,0,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,144,C8,155.9,3,2,0,1,37,1,0,51.96,77.95,1.5,0,1,1,1082,39,1,1,0,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,397,C22,36.7,0.3,1,0,1,34,1,0,146.72,36.68,0.25,1,0,1,1358,9.2,2,0,1,22,1,0,0,120,0,0,0,1,0,0,1,0,0,3,1
DIVERSITY,398,C22,36.7,0.3,1,0,1,27,1,0,146.72,36.68,0.25,1,0,1,1358,9.2,2,0,1,22,1,0,0,112,0,0,0,1,0,0,1,0,0,3,1
DIVERSITY,100,C6,45.9,3.9,2,0,1,39,0,1,11.7,22.93,1.96,0,1,1,847,11.5,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,104,C6,45.9,1.5,3,1,0,32,1,0,31.19,15.28,0.49,1,0,1,847,11.5,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,312,C17,45.9,1,3,0,1,26,1,0,45.85,15.28,0.33,1,0,1,1250,11.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,328,C17,45.9,0.8,3,1,0,45,1,0,61.13,15.28,0.25,1,0,1,1250,11.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,329,C17,45.9,0.8,3,1,0,35,1,0,61.13,15.28,0.25,1,0,1,1250,11.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
